Name: Calle Segunda de 565, Instruction: Head east on Calle Segunda de 565, Distance: 219.0 meters, Time: 157.7 seconds
Name: Avenida 508, Instruction: Turn left onto Avenida 508, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Continue straight, Distance: 103.2 meters, Time: 74.3 seconds
Name: Avenida 608, Instruction: Turn right onto Avenida 608, Distance: 225.7 meters, Time: 162.5 seconds
Name: Avenida 573, Instruction: Turn sharp right onto Avenida 573, Distance: 146.8 meters, Time: 105.7 seconds
Name: Primera Cerrada Avenida 571, Instruction: Turn left onto Primera Cerrada Avenida 571, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Turn left, Distance: 175.2 meters, Time: 126.1 seconds
Name: -, Instruction: Continue straight, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Calle Segunda 593, Instruction: Turn sharp right onto Calle Segunda 593, Distance: 47.6 meters, Time: 34.3 seconds
Name: Avenida 595, Instruction: Turn right onto Avenida 595, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 112.1 meters, Time: 80.7 seconds
Name: Avenida 599, Instruction: Turn right onto Avenida 599, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 250.0 meters, Time: 180.0 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: Avenida 609, Instruction: Turn slight left onto Avenida 609, Distance: 175.6 meters, Time: 126.4 seconds
Name: Avenida 604, Instruction: Turn left onto Avenida 604, Distance: 103.9 meters, Time: 74.8 seconds
Name: Avenida 604, Instruction: Keep right onto Avenida 604, Distance: 371.5 meters, Time: 267.4 seconds
Name: -, Instruction: Arrive at Avenida 604, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
