Name: Donegall Drive, Instruction: Head south on Donegall Drive, Distance: 497.0 meters, Time: 357.9 seconds
Name: -, Instruction: Turn left, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Keep right, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight right, Distance: 399.4 meters, Time: 287.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 99.5 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 201.2 meters, Time: 144.8 seconds
Name: -, Instruction: Turn slight right, Distance: 208.7 meters, Time: 150.3 seconds
Name: -, Instruction: Turn slight right, Distance: 122.7 meters, Time: 88.4 seconds
Name: -, Instruction: Turn right, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
