Name: Hanikura Street, Instruction: Head south on Hanikura Street, Distance: 145.4 meters, Time: 104.7 seconds
Name: Longshore Drive, Instruction: Turn right onto Longshore Drive, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Keep right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Continue straight, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Continue straight, Distance: 321.3 meters, Time: 231.3 seconds
Name: -, Instruction: Turn left, Distance: 768.8 meters, Time: 553.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 144.9 meters, Time: 104.4 seconds
Name: -, Instruction: Keep right, Distance: 99.8 meters, Time: 71.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
