Name: Avenida Canal de Miramontes, EJE 1 OTE, Instruction: Head south on Avenida Canal de Miramontes, EJE 1 OTE, Distance: 129.2 meters, Time: 93.0 seconds
Name: Calzada Acoxpa, Instruction: Turn left onto Calzada Acoxpa, Distance: 154.8 meters, Time: 111.5 seconds
Name: Calle Vereda, Instruction: Turn right onto Calle Vereda, Distance: 148.7 meters, Time: 107.1 seconds
Name: Andador 7, Instruction: Turn left onto Andador 7, Distance: 207.5 meters, Time: 149.4 seconds
Name: Andador 7, Instruction: Turn left onto Andador 7, Distance: 7.9 meters, Time: 5.7 seconds
Name: Andador 7, Instruction: Turn right onto Andador 7, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.2 seconds
Name: Andador 7, Instruction: Turn left onto Andador 7, Distance: 36.8 meters, Time: 26.5 seconds
Name: Avenida El Fortín, Instruction: Turn left onto Avenida El Fortín, Distance: 29.0 meters, Time: 20.9 seconds
Name: Andador 9, Instruction: Turn right onto Andador 9, Distance: 98.0 meters, Time: 70.5 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: Avenida El Farol, Instruction: Turn left onto Avenida El Farol, Distance: 28.4 meters, Time: 20.4 seconds
Name: Avenida El Farol, Instruction: Keep right onto Avenida El Farol, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: Andador 2, Instruction: Turn left onto Andador 2, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn slight right, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn right, Distance: 343.1 meters, Time: 247.1 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.4 seconds
Name: Calle Río San Buenaventura, Instruction: Turn left onto Calle Río San Buenaventura, Distance: 420.4 meters, Time: 302.7 seconds
Name: Calle Federación, Instruction: Turn right onto Calle Federación, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Arrive at Calle Federación, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
