Name: Allison Drive, Instruction: Head northeast on Allison Drive, Distance: 25.9 meters, Time: 18.7 seconds
Name: Giles Close, Instruction: Turn left onto Giles Close, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 127.2 meters, Time: 91.6 seconds
Name: Luttrell Street, Instruction: Turn right onto Luttrell Street, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 220.0 meters, Time: 158.4 seconds
Name: -, Instruction: Turn slight left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.7 seconds
Name: -, Instruction: Turn slight left, Distance: 309.7 meters, Time: 223.0 seconds
Name: -, Instruction: Turn right, Distance: 225.9 meters, Time: 162.6 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Tarrabundi Drive, Instruction: Turn right onto Tarrabundi Drive, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at Tarrabundi Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
