Name: Centenary Square, Instruction: Head north on Centenary Square, Distance: 47.7 meters, Time: 34.4 seconds
Name: Parramatta Square, Instruction: Turn sharp right onto Parramatta Square, Distance: 192.8 meters, Time: 138.8 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: Macquarie Street, Instruction: Turn right onto Macquarie Street, Distance: 164.1 meters, Time: 118.2 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.7 seconds
Name: Macquarie Street, Instruction: Turn right onto Macquarie Street, Distance: 135.9 meters, Time: 97.8 seconds
Name: Macquarie Street, Instruction: Turn slight left onto Macquarie Street, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 146.2 meters, Time: 105.3 seconds
Name: -, Instruction: Turn right, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
