Name: Boon Avenue, Instruction: Head south on Boon Avenue, Distance: 355.1 meters, Time: 255.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 123.8 meters, Time: 89.2 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: Via Italia, Instruction: Turn right onto Via Italia, Distance: 497.6 meters, Time: 358.3 seconds
Name: Nunes Lane, Instruction: Turn left onto Nunes Lane, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: McFarland Avenue, Instruction: Turn right onto McFarland Avenue, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn slight left, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 247.2 meters, Time: 178.0 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Continue straight, Distance: 5.4 meters, Time: 3.9 seconds
Name: Bartlett Avenue North, Instruction: Turn right onto Bartlett Avenue North, Distance: 161.3 meters, Time: 116.1 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Keep left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Keep left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
