Name: Kings Park Boulevard, Instruction: Head west on Kings Park Boulevard, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: Dewhurst Boulevard North, Instruction: Turn left onto Dewhurst Boulevard North, Distance: 76.3 meters, Time: 55.0 seconds
Name: Sammon Avenue, Instruction: Turn right onto Sammon Avenue, Distance: 445.8 meters, Time: 321.0 seconds
Name: -, Instruction: Turn left, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Keep right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 203.0 meters, Time: 146.2 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Browning Avenue, Instruction: Turn right onto Browning Avenue, Distance: 470.7 meters, Time: 338.9 seconds
Name: -, Instruction: Arrive at Browning Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
