Name: شارع حورس, Instruction: Head west on شارع حورس, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: شارع البردي, Instruction: Turn right onto شارع البردي, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: شارع البردي, Instruction: Turn left onto شارع البردي, Distance: 57.2 meters, Time: 41.2 seconds
Name: شارع محمد فوزي, Instruction: Keep right onto شارع محمد فوزي, Distance: 82.9 meters, Time: 59.7 seconds
Name: شارع محمد فوزي, Instruction: Continue straight onto شارع محمد فوزي, Distance: 117.8 meters, Time: 84.8 seconds
Name: شارع محمد فوزي, Instruction: Continue straight onto شارع محمد فوزي, Distance: 144.5 meters, Time: 104.1 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: شارع محمد فوزي, Instruction: Turn right onto شارع محمد فوزي, Distance: 134.4 meters, Time: 96.8 seconds
Name: شارع رمسيس نجيب, Instruction: Turn slight left onto شارع رمسيس نجيب, Distance: 43.3 meters, Time: 31.2 seconds
Name: شارع رمسيس نجيب, Instruction: Continue straight onto شارع رمسيس نجيب, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: شارع رمسيس نجيب, Instruction: Turn right onto شارع رمسيس نجيب, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 120.9 meters, Time: 87.0 seconds
Name: طريق السادات الجانبى, Instruction: Turn slight right onto طريق السادات الجانبى, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 177.5 meters, Time: 127.8 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 288.7 meters, Time: 207.9 seconds
Name: -, Instruction: Turn right, Distance: 232.3 meters, Time: 167.2 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
