Name: شارع الملتقى العربى, Instruction: Head northeast on شارع الملتقى العربى, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 27.7 meters, Time: 19.9 seconds
Name: شارع سيد عويس, Instruction: Turn slight right onto شارع سيد عويس, Distance: 206.9 meters, Time: 149.0 seconds
Name: طريق 92, Instruction: Turn left onto طريق 92, Distance: 79.9 meters, Time: 57.5 seconds
Name: -, Instruction: Turn right, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Turn left, Distance: 203.0 meters, Time: 146.2 seconds
Name: شارع الشهيد سيد زكريا خليل, Instruction: Turn left onto شارع الشهيد سيد زكريا خليل, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: شارع الشهيد سيد زكريا خليل, Instruction: Turn right onto شارع الشهيد سيد زكريا خليل, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 70.9 meters, Time: 51.1 seconds
Name: شارع مربع 1179, Instruction: Turn left onto شارع مربع 1179, Distance: 151.6 meters, Time: 109.2 seconds
Name: طريق 33, Instruction: Turn right onto طريق 33, Distance: 66.0 meters, Time: 47.5 seconds
Name: شارع مربع 1177, Instruction: Turn left onto شارع مربع 1177, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn right, Distance: 119.3 meters, Time: 85.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
