Name: Haarlem Road, Instruction: Head east on Haarlem Road, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 155.0 meters, Time: 111.6 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep right, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Keep left, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 43.1 meters, Time: 31.0 seconds
Name: Vasco Boulevard, M26, Instruction: Turn right onto Vasco Boulevard, M26, Distance: 185.9 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: Plattekloof Road, Instruction: Turn left onto Plattekloof Road, Distance: 195.1 meters, Time: 140.4 seconds
Name: Borghorst Street, Instruction: Turn right onto Borghorst Street, Distance: 672.6 meters, Time: 484.3 seconds
Name: Le Sueur Avenue, Instruction: Turn left onto Le Sueur Avenue, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 75.6 meters, Time: 54.5 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: Le Sueur Avenue, Instruction: Turn right onto Le Sueur Avenue, Distance: 4.3 meters, Time: 3.1 seconds
Name: Wagenaar Street, Instruction: Turn left onto Wagenaar Street, Distance: 252.1 meters, Time: 181.5 seconds
Name: Camoens Avenue, Instruction: Turn right onto Camoens Avenue, Distance: 136.7 meters, Time: 98.4 seconds
Name: -, Instruction: Arrive at Camoens Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
