Name: Avenue des Nations-Unies, Instruction: Head northeast on Avenue des Nations-Unies, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 182.6 meters, Time: 131.5 seconds
Name: -, Instruction: Turn slight right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn slight right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Turn slight right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight left, Distance: 349.8 meters, Time: 251.9 seconds
Name: -, Instruction: Turn slight right, Distance: 132.7 meters, Time: 95.6 seconds
Name: -, Instruction: Turn right, Distance: 236.1 meters, Time: 170.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Keep left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Keep left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Sortie Parking Étoile - Foch, Instruction: Turn left onto Sortie Parking Étoile - Foch, Distance: 5.6 meters, Time: 4.1 seconds
Name: Avenue Foch, Instruction: Turn sharp right onto Avenue Foch, Distance: 19.9 meters, Time: 14.3 seconds
Name: Rue Duret, Instruction: Keep left onto Rue Duret, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Arrive at Rue Duret, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
