Name: Protea Street, Instruction: Head south on Protea Street, Distance: 151.9 meters, Time: 109.4 seconds
Name: Eland Street, Instruction: Turn sharp right onto Eland Street, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Keep left, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn slight left, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Turn right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Continue straight, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn slight left, Distance: 47.0 meters, Time: 33.9 seconds
Name: Simpson Street, Instruction: Turn right onto Simpson Street, Distance: 350.6 meters, Time: 252.4 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.1 meters, Time: 11.6 seconds
Name: Carrington Avenue, Instruction: Turn sharp right onto Carrington Avenue, Distance: 324.8 meters, Time: 233.8 seconds
Name: Lawrence Road, Instruction: Turn left onto Lawrence Road, Distance: 162.4 meters, Time: 116.9 seconds
Name: Carson Avenue, Instruction: Turn right onto Carson Avenue, Distance: 89.2 meters, Time: 64.3 seconds
Name: -, Instruction: Arrive at Carson Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
