Name: Barge Walk, Instruction: Head northwest on Barge Walk, Distance: 74.0 meters, Time: 53.3 seconds
Name: Chandlers Avenue, Instruction: Turn left onto Chandlers Avenue, Distance: 18.6 meters, Time: 13.4 seconds
Name: Pilot Walk, Instruction: Continue straight onto Pilot Walk, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Turn right, Distance: 129.1 meters, Time: 92.9 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 213.0 meters, Time: 153.4 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn slight left, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
