Name: Rue Jacques Mazaud, Instruction: Head southwest on Rue Jacques Mazaud, Distance: 81.4 meters, Time: 58.6 seconds
Name: Rue Gabriel Péri, Instruction: Turn left onto Rue Gabriel Péri, Distance: 546.6 meters, Time: 393.5 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Rue Louis Vierne, Instruction: Turn left onto Rue Louis Vierne, Distance: 18.0 meters, Time: 12.9 seconds
Name: Rue Louis Vierne, Instruction: Turn slight right onto Rue Louis Vierne, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight right, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn left, Distance: 64.0 meters, Time: 46.1 seconds
Name: Promenade Bernard Lafray, Instruction: Turn right onto Promenade Bernard Lafray, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 96.3 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 77.4 meters, Time: 55.7 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn left onto Boulevard Gouvion-Saint-Cyr, Distance: 16.9 meters, Time: 12.2 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Continue straight onto Boulevard Gouvion-Saint-Cyr, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Laugier, Instruction: Turn right onto Rue Laugier, Distance: 299.5 meters, Time: 215.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
