Name: Franz-Schrank-Straße, Instruction: Head north on Franz-Schrank-Straße, Distance: 150.3 meters, Time: 108.2 seconds
Name: -, Instruction: Turn right, Distance: 479.1 meters, Time: 344.9 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: In den Kirschen, Instruction: Turn right onto In den Kirschen, Distance: 64.4 meters, Time: 46.4 seconds
Name: -, Instruction: Keep left, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn left, Distance: 52.8 meters, Time: 38.1 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Mettenstraße, Instruction: Turn left onto Mettenstraße, Distance: 6.1 meters, Time: 4.4 seconds
Name: Mettenstraße, Instruction: Turn right onto Mettenstraße, Distance: 106.4 meters, Time: 76.6 seconds
Name: Osterhofener Weg, Instruction: Turn left onto Osterhofener Weg, Distance: 22.6 meters, Time: 16.3 seconds
Name: Mettenstraße, Instruction: Turn right onto Mettenstraße, Distance: 159.1 meters, Time: 114.6 seconds
Name: Nederlinger Straße, Instruction: Turn right onto Nederlinger Straße, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn slight left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep left, Distance: 11.6 meters, Time: 8.3 seconds
Name: Baldurstraße, Instruction: Turn slight right onto Baldurstraße, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 320.8 meters, Time: 231.0 seconds
Name: -, Instruction: Keep left, Distance: 246.8 meters, Time: 177.7 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn slight right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Keep left, Distance: 67.3 meters, Time: 48.5 seconds
Name: -, Instruction: Turn slight left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
