Name: Pine Glen Road, Instruction: Head west on Pine Glen Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 241.6 meters, Time: 174.0 seconds
Name: -, Instruction: Keep left, Distance: 101.3 meters, Time: 73.0 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 275.1 meters, Time: 198.1 seconds
Name: -, Instruction: Turn slight right, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Keep left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Balsam Avenue, Instruction: Turn right onto Balsam Avenue, Distance: 126.2 meters, Time: 90.9 seconds
Name: Balsam Avenue, Instruction: Turn left onto Balsam Avenue, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 166.8 meters, Time: 120.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
