Name: Shellbank Lane, Instruction: Head southwest on Shellbank Lane, Distance: 57.1 meters, Time: 41.1 seconds
Name: Tahingamanu Road, Instruction: Turn right onto Tahingamanu Road, Distance: 120.5 meters, Time: 86.7 seconds
Name: Tahingamanu Road, Instruction: Continue straight onto Tahingamanu Road, Distance: 179.3 meters, Time: 129.1 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn left, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.9 seconds
Name: Kotuku Lane, Instruction: Turn left onto Kotuku Lane, Distance: 6.6 meters, Time: 4.8 seconds
Name: Ponga Street, Instruction: Turn right onto Ponga Street, Distance: 66.2 meters, Time: 47.6 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Continue straight, Distance: 40.2 meters, Time: 28.9 seconds
Name: Meteor Road, Instruction: Turn left onto Meteor Road, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Harvard Street, Instruction: Turn left onto Harvard Street, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Arrive at Harvard Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
