Name: Thalkirchner Straße, Instruction: Head southwest on Thalkirchner Straße, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 64.4 meters, Time: 46.4 seconds
Name: Brudermühlstraße, Instruction: Turn right onto Brudermühlstraße, Distance: 413.5 meters, Time: 297.7 seconds
Name: -, Instruction: Turn right, Distance: 123.7 meters, Time: 89.1 seconds
Name: -, Instruction: Keep left, Distance: 258.2 meters, Time: 185.9 seconds
Name: -, Instruction: Keep right, Distance: 363.1 meters, Time: 261.4 seconds
Name: -, Instruction: Turn slight right, Distance: 173.0 meters, Time: 124.5 seconds
Name: -, Instruction: Continue straight, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: Gottfried-Böhm-Ring, Instruction: Continue straight onto Gottfried-Böhm-Ring, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
