Name: Acapella Lane, Instruction: Head southwest on Acapella Lane, Distance: 48.1 meters, Time: 34.7 seconds
Name: Manning Avenue, Instruction: Turn left onto Manning Avenue, Distance: 184.0 meters, Time: 132.5 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Follis Avenue, Instruction: Turn right onto Follis Avenue, Distance: 46.6 meters, Time: 33.6 seconds
Name: James Kendle Lane, Instruction: Turn left onto James Kendle Lane, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 132.3 meters, Time: 95.2 seconds
Name: Shady Lane, Instruction: Turn right onto Shady Lane, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Barton Avenue, Instruction: Turn right onto Barton Avenue, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 206.4 meters, Time: 148.6 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 166.1 meters, Time: 119.6 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 136.2 meters, Time: 98.1 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Montrose Avenue, Instruction: Turn left onto Montrose Avenue, Distance: 266.6 meters, Time: 191.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 160.1 meters, Time: 115.3 seconds
Name: -, Instruction: Turn slight right, Distance: 122.0 meters, Time: 87.9 seconds
Name: -, Instruction: Turn slight left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Keep left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight right, Distance: 267.5 meters, Time: 192.6 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 99.5 meters, Time: 71.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
