Name: Kaadener Straße, Instruction: Head north on Kaadener Straße, Distance: 122.9 meters, Time: 88.5 seconds
Name: Josef-Ressel-Straße, Instruction: Turn right onto Josef-Ressel-Straße, Distance: 229.5 meters, Time: 165.3 seconds
Name: Rothpletzstraße, Instruction: Turn left onto Rothpletzstraße, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 39.3 meters, Time: 28.3 seconds
Name: Gablonzer Straße, Instruction: Continue straight onto Gablonzer Straße, Distance: 80.5 meters, Time: 58.0 seconds
Name: Friedlandweg, Instruction: Turn sharp left onto Friedlandweg, Distance: 74.0 meters, Time: 53.3 seconds
Name: Krumenauerstraße, Instruction: Turn right onto Krumenauerstraße, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: Ingolstädter Straße, Instruction: Turn left onto Ingolstädter Straße, Distance: 10.9 meters, Time: 7.8 seconds
Name: Ingolstädter Straße, Instruction: Continue straight onto Ingolstädter Straße, Distance: 151.2 meters, Time: 108.9 seconds
Name: Heidemannstraße, Instruction: Turn sharp right onto Heidemannstraße, Distance: 34.6 meters, Time: 24.9 seconds
Name: Ingolstädter Straße, Instruction: Keep left onto Ingolstädter Straße, Distance: 32.7 meters, Time: 23.6 seconds
Name: Heidemannstraße, Instruction: Turn right onto Heidemannstraße, Distance: 158.0 meters, Time: 113.8 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
