Name: Medusa Road, Instruction: Head east on Medusa Road, Distance: 52.0 meters, Time: 37.4 seconds
Name: Albacore Crescent, Instruction: Turn left onto Albacore Crescent, Distance: 385.8 meters, Time: 277.8 seconds
Name: Lewisham High Street, Instruction: Turn left onto Lewisham High Street, Distance: 127.2 meters, Time: 91.6 seconds
Name: Ambulances Only, Instruction: Turn left onto Ambulances Only, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Lewisham High Street, Instruction: Turn left onto Lewisham High Street, Distance: 222.2 meters, Time: 159.9 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 166.6 meters, Time: 119.9 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 104.5 meters, Time: 75.2 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
