Name: Garden Road, Instruction: Head south on Garden Road, Distance: 180.3 meters, Time: 129.8 seconds
Name: Remuera Road, Instruction: Turn left onto Remuera Road, Distance: 138.3 meters, Time: 99.6 seconds
Name: Clonbern Road, Instruction: Turn right onto Clonbern Road, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 178.9 meters, Time: 128.8 seconds
Name: -, Instruction: Keep left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 253.3 meters, Time: 182.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 506.9 meters, Time: 364.9 seconds
Name: -, Instruction: Turn left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 135.2 meters, Time: 97.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 105.5 meters, Time: 76.0 seconds
Name: -, Instruction: Keep right, Distance: 17.5 meters, Time: 12.6 seconds
Name: Rotomahana Terrace, Instruction: Turn right onto Rotomahana Terrace, Distance: 9.8 meters, Time: 7.1 seconds
Name: Peach Parade, Instruction: Turn left onto Peach Parade, Distance: 466.1 meters, Time: 335.6 seconds
Name: Ladies Mile, Instruction: Turn right onto Ladies Mile, Distance: 356.1 meters, Time: 256.4 seconds
Name: -, Instruction: Arrive at Ladies Mile, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
