Name: Lambrown Drive, Instruction: Head west on Lambrown Drive, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn left, Distance: 246.0 meters, Time: 177.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Cheval Drive, Instruction: Turn left onto Cheval Drive, Distance: 57.5 meters, Time: 41.4 seconds
Name: Cheval Drive, Instruction: Keep right onto Cheval Drive, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 175.6 meters, Time: 126.4 seconds
Name: -, Instruction: Keep left, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 266.1 meters, Time: 191.6 seconds
Name: -, Instruction: Turn left, Distance: 171.1 meters, Time: 123.2 seconds
Name: Mossop Rise, Instruction: Turn right onto Mossop Rise, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn slight right, Distance: 125.9 meters, Time: 90.7 seconds
Name: -, Instruction: Keep left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Hogans Road, Instruction: Turn slight right onto Hogans Road, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Keep right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
