Name: Namly Avenue, Instruction: Head west on Namly Avenue, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.2 seconds
Name: Third Avenue, Instruction: Turn left onto Third Avenue, Distance: 170.9 meters, Time: 123.1 seconds
Name: -, Instruction: Turn right, Distance: 246.3 meters, Time: 177.4 seconds
Name: -, Instruction: Turn right, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: Vanda Road, Instruction: Turn left onto Vanda Road, Distance: 16.6 meters, Time: 12.0 seconds
Name: Eng Neo Avenue, Instruction: Turn right onto Eng Neo Avenue, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at Eng Neo Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
