Name: Rue Lagrange, Instruction: Head northwest on Rue Lagrange, Distance: 3.7 meters, Time: 2.7 seconds
Name: Rue de l'Hôtel Colbert, Instruction: Turn right onto Rue de l'Hôtel Colbert, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 57.3 meters, Time: 41.2 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Keep left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Keep left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn slight left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Keep right, Distance: 176.9 meters, Time: 127.4 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 68.9 meters, Time: 49.6 seconds
Name: -, Instruction: Turn slight right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.0 seconds
Name: Rue Jean du Bellay, Instruction: Turn right onto Rue Jean du Bellay, Distance: 12.6 meters, Time: 9.1 seconds
Name: Rue Jean du Bellay, Instruction: Keep left onto Rue Jean du Bellay, Distance: 176.2 meters, Time: 126.9 seconds
Name: Pont Louis-Philippe, Instruction: Continue straight onto Pont Louis-Philippe, Distance: 1043.2 meters, Time: 751.1 seconds
Name: Rue de Poitou, Instruction: Keep right onto Rue de Poitou, Distance: 257.7 meters, Time: 185.5 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
