Name: Rue Hélène Brion, Instruction: Head southwest on Rue Hélène Brion, Distance: 195.0 meters, Time: 140.4 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 65.6 meters, Time: 47.2 seconds
Name: Rue Jeanne Chauvin, Instruction: Turn right onto Rue Jeanne Chauvin, Distance: 8.4 meters, Time: 6.1 seconds
Name: Rue Jacques Lacan, Instruction: Turn left onto Rue Jacques Lacan, Distance: 84.1 meters, Time: 60.5 seconds
Name: -, Instruction: Turn slight right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Keep right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 174.5 meters, Time: 125.7 seconds
Name: -, Instruction: Turn slight right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: Rue Jean Colly, Instruction: Turn right onto Rue Jean Colly, Distance: 273.7 meters, Time: 197.1 seconds
Name: Rue du Château des Rentiers, Instruction: Turn slight right onto Rue du Château des Rentiers, Distance: 164.8 meters, Time: 118.7 seconds
Name: Rue Nationale, Instruction: Turn right onto Rue Nationale, Distance: 22.9 meters, Time: 16.5 seconds
Name: Rue du Château des Rentiers, Instruction: Turn left onto Rue du Château des Rentiers, Distance: 499.4 meters, Time: 359.5 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Keep right, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 85.6 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Keep right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
