Name: Cavendish Road, Instruction: Head south on Cavendish Road, Distance: 54.7 meters, Time: 39.4 seconds
Name: Devonshire Road, Instruction: Turn left onto Devonshire Road, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 51.7 meters, Time: 37.2 seconds
Name: Myrna Close, Instruction: Turn left onto Myrna Close, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 206.9 meters, Time: 148.9 seconds
Name: -, Instruction: Keep left, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Keep left, Distance: 5.9 meters, Time: 4.2 seconds
Name: Swains Road, Instruction: Turn slight right onto Swains Road, Distance: 435.7 meters, Time: 313.7 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: Thirsk Road, Instruction: Turn left onto Thirsk Road, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: St Barnabas Road, Instruction: Turn right onto St Barnabas Road, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn right, Distance: 257.9 meters, Time: 185.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
