Name: Bukit Batok West Avenue 4, Instruction: Head northeast on Bukit Batok West Avenue 4, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 519.2 meters, Time: 373.8 seconds
Name: -, Instruction: Keep right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 611.8 meters, Time: 440.5 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 34.0 seconds
Name: Choa Chu Kang Park Connector, Instruction: Turn right onto Choa Chu Kang Park Connector, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 994.2 meters, Time: 715.8 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: Choa Chu Kang Road, Instruction: Turn right onto Choa Chu Kang Road, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Arrive at Choa Chu Kang Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
