Name: Lumbarda Drive, Instruction: Head west on Lumbarda Drive, Distance: 139.0 meters, Time: 100.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 227.5 meters, Time: 163.8 seconds
Name: -, Instruction: Continue straight, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Schoolside Road, Instruction: Turn sharp left onto Schoolside Road, Distance: 11.6 meters, Time: 8.3 seconds
Name: Schoolside Road, Instruction: Enter the roundabout and take the 2nd exit onto Schoolside Road, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 192.1 meters, Time: 138.3 seconds
Name: -, Instruction: Turn slight right, Distance: 89.1 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
