Name: Bukit Batok West Avenue 4, Instruction: Head northeast on Bukit Batok West Avenue 4, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 519.2 meters, Time: 373.8 seconds
Name: -, Instruction: Keep left, Distance: 211.7 meters, Time: 152.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 434.2 meters, Time: 312.6 seconds
Name: -, Instruction: Turn left, Distance: 306.7 meters, Time: 220.8 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: Choa Chu Kang Park Connector, Instruction: Turn slight left onto Choa Chu Kang Park Connector, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 380.3 meters, Time: 273.8 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
