Name: 豊中通り, Instruction: Head west on 豊中通り, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn right, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 337.0 meters, Time: 242.6 seconds
Name: -, Instruction: Turn left, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 238.9 meters, Time: 172.0 seconds
Name: -, Instruction: Turn left, Distance: 119.1 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
