Name: Howard Drive, Instruction: Head north on Howard Drive, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: Wren Way, Instruction: Turn right onto Wren Way, Distance: 64.5 meters, Time: 46.5 seconds
Name: Telford Way, Instruction: Turn left onto Telford Way, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Keep left, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: Newton Drive, Instruction: Turn right onto Newton Drive, Distance: 8.9 meters, Time: 6.4 seconds
Name: Oakridge Avenue, Instruction: Turn left onto Oakridge Avenue, Distance: 86.2 meters, Time: 62.0 seconds
Name: Oakridge Avenue, Instruction: Turn left onto Oakridge Avenue, Distance: 180.7 meters, Time: 130.1 seconds
Name: Heather Way, Instruction: Turn right onto Heather Way, Distance: 243.3 meters, Time: 175.2 seconds
Name: Caxton Way, Instruction: Turn left onto Caxton Way, Distance: 87.5 meters, Time: 63.0 seconds
Name: Briar Way, Instruction: Turn right onto Briar Way, Distance: 61.1 meters, Time: 44.0 seconds
Name: Boundary Road, Instruction: Turn right onto Boundary Road, Distance: 9.2 meters, Time: 6.7 seconds
Name: Bronnies Way, Instruction: Turn left onto Bronnies Way, Distance: 144.1 meters, Time: 103.7 seconds
Name: -, Instruction: Turn slight left, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Keep left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
