Name: Gartenstraße, Instruction: Head northwest on Gartenstraße, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 880.0 meters, Time: 633.6 seconds
Name: -, Instruction: Turn slight left, Distance: 269.9 meters, Time: 194.3 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 406.3 meters, Time: 292.5 seconds
Name: Buchenstraße, Instruction: Turn right onto Buchenstraße, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight left, Distance: 58.8 meters, Time: 42.4 seconds
Name: -, Instruction: Keep right, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.4 seconds
Name: Lenbachallee, Instruction: Turn right onto Lenbachallee, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 80.2 meters, Time: 57.8 seconds
Name: -, Instruction: Turn slight left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
