Name: Frühlingstraße, Instruction: Head east on Frühlingstraße, Distance: 127.2 meters, Time: 91.6 seconds
Name: Balatonfüreder Straße, Instruction: Turn left onto Balatonfüreder Straße, Distance: 188.6 meters, Time: 135.8 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Keep right, Distance: 286.1 meters, Time: 206.0 seconds
Name: -, Instruction: Turn slight left, Distance: 79.1 meters, Time: 56.9 seconds
Name: Geschwister-Scholl-Ring, Instruction: Turn left onto Geschwister-Scholl-Ring, Distance: 40.3 meters, Time: 29.0 seconds
Name: Landsberger Straße, Instruction: Turn right onto Landsberger Straße, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 313.6 meters, Time: 225.8 seconds
Name: -, Instruction: Keep right, Distance: 330.7 meters, Time: 238.1 seconds
Name: Kurfürstenstraße, Instruction: Turn left onto Kurfürstenstraße, Distance: 31.3 meters, Time: 22.5 seconds
Name: Lupinenweg, Instruction: Turn right onto Lupinenweg, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Arrive at Lupinenweg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
