Name: Rua São José, Instruction: Head northeast on Rua São José, Distance: 54.3 meters, Time: 39.1 seconds
Name: Avenida Alfred Agache, Instruction: Turn right onto Avenida Alfred Agache, Distance: 142.3 meters, Time: 102.5 seconds
Name: -, Instruction: Continue straight, Distance: 91.3 meters, Time: 65.7 seconds
Name: Rua Marechal Aguinaldo Caiado de Castro, Instruction: Turn slight left onto Rua Marechal Aguinaldo Caiado de Castro, Distance: 114.3 meters, Time: 82.3 seconds
Name: Rua Marechal Aguinaldo Caiado de Castro, Instruction: Turn right onto Rua Marechal Aguinaldo Caiado de Castro, Distance: 31.0 meters, Time: 22.3 seconds
Name: Ladeira da Misericórdia, Instruction: Turn left onto Ladeira da Misericórdia, Distance: 120.5 meters, Time: 86.8 seconds
Name: Rua Santa Luzia, Instruction: Turn right onto Rua Santa Luzia, Distance: 138.6 meters, Time: 99.8 seconds
Name: Avenida Marechal Câmara, Instruction: Turn left onto Avenida Marechal Câmara, Distance: 120.6 meters, Time: 86.8 seconds
Name: Rua Professor Fioravanti di Piero, Instruction: Turn left onto Rua Professor Fioravanti di Piero, Distance: 49.5 meters, Time: 35.7 seconds
Name: Rua Professor Fioravanti di Piero, Instruction: Turn right onto Rua Professor Fioravanti di Piero, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Continue straight, Distance: 165.7 meters, Time: 119.3 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: Passarela Coronel Fontenelle, Instruction: Turn right onto Passarela Coronel Fontenelle, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Turn right, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Turn slight left, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 201.3 meters, Time: 144.9 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
