Name: Ming Street, Instruction: Head west on Ming Street, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn slight left, Distance: 39.3 meters, Time: 28.3 seconds
Name: West India Dock Road, Instruction: Turn left onto West India Dock Road, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn slight right, Distance: 60.8 meters, Time: 43.8 seconds
Name: Hertsmere Road West, Instruction: Turn right onto Hertsmere Road West, Distance: 219.1 meters, Time: 157.8 seconds
Name: Columbus Courtyard, Instruction: Turn right onto Columbus Courtyard, Distance: 72.4 meters, Time: 52.1 seconds
Name: Westferry Promenade, Instruction: Turn right onto Westferry Promenade, Distance: 25.2 meters, Time: 18.1 seconds
Name: Westferry Circus, Instruction: Turn left onto Westferry Circus, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.5 seconds
Name: West India Avenue, Instruction: Turn right onto West India Avenue, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.7 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Keep left, Distance: 54.0 meters, Time: 38.8 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Marsh Wall, Instruction: Turn left onto Marsh Wall, Distance: 281.1 meters, Time: 202.4 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: Manilla Street, Instruction: Turn left onto Manilla Street, Distance: 51.1 meters, Time: 36.8 seconds
Name: Byng Street, Instruction: Turn left onto Byng Street, Distance: 14.7 meters, Time: 10.6 seconds
Name: Bosun Close, Instruction: Turn right onto Bosun Close, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 134.8 meters, Time: 97.1 seconds
Name: Mastmaker Road, Instruction: Turn right onto Mastmaker Road, Distance: 97.7 meters, Time: 70.3 seconds
Name: -, Instruction: Turn right, Distance: 54.2 meters, Time: 39.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
