Name: Ferguson Street, Instruction: Head south on Ferguson Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 138.8 meters, Time: 99.9 seconds
Name: -, Instruction: Turn right, Distance: 59.9 meters, Time: 43.2 seconds
Name: Garden Lane, Instruction: Turn left onto Garden Lane, Distance: 149.8 meters, Time: 107.9 seconds
Name: Garden Street, Instruction: Turn right onto Garden Street, Distance: 10.5 meters, Time: 7.6 seconds
Name: Maroubra Lane, Instruction: Turn left onto Maroubra Lane, Distance: 252.9 meters, Time: 182.1 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn left, Distance: 778.7 meters, Time: 560.6 seconds
Name: -, Instruction: Keep left, Distance: 191.0 meters, Time: 137.5 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 256.5 meters, Time: 184.7 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 68.4 meters, Time: 49.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
