Name: Craigavon Way, Instruction: Head northwest on Craigavon Way, Distance: 45.3 meters, Time: 32.6 seconds
Name: Kevin Street, Instruction: Turn left onto Kevin Street, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn left, Distance: 139.1 meters, Time: 100.1 seconds
Name: -, Instruction: Continue straight, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.9 meters, Time: 9.3 seconds
Name: Ferndale Close, Instruction: Turn left onto Ferndale Close, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Continue straight, Distance: 581.6 meters, Time: 418.8 seconds
Name: Lindsay Street, Instruction: Turn right onto Lindsay Street, Distance: 474.1 meters, Time: 341.3 seconds
Name: Darcy Road, Instruction: Turn sharp left onto Darcy Road, Distance: 59.8 meters, Time: 43.1 seconds
Name: Hill Street, Instruction: Turn right onto Hill Street, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 348.0 meters, Time: 250.6 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 168.2 meters, Time: 121.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
