Name: Alpha Grove, Instruction: Head north on Alpha Grove, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: Bosun Close, Instruction: Turn right onto Bosun Close, Distance: 51.7 meters, Time: 37.2 seconds
Name: Byng Street, Instruction: Turn left onto Byng Street, Distance: 14.7 meters, Time: 10.6 seconds
Name: Manilla Street, Instruction: Turn right onto Manilla Street, Distance: 51.1 meters, Time: 36.8 seconds
Name: Lenanton Steps, Instruction: Turn right onto Lenanton Steps, Distance: 32.0 meters, Time: 23.0 seconds
Name: Marsh Wall, Instruction: Turn sharp right onto Marsh Wall, Distance: 41.7 meters, Time: 30.0 seconds
Name: Admirals Way, Instruction: Turn left onto Admirals Way, Distance: 15.0 meters, Time: 10.8 seconds
Name: Wards Place, Instruction: Continue straight onto Wards Place, Distance: 16.8 meters, Time: 12.1 seconds
Name: Admirals Way, Instruction: Continue straight onto Admirals Way, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 58.1 meters, Time: 41.8 seconds
Name: South Quay Walk, Instruction: Turn right onto South Quay Walk, Distance: 107.1 meters, Time: 77.1 seconds
Name: South Quay Footbridge, Instruction: Turn left onto South Quay Footbridge, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Continue straight, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Continue straight, Distance: 43.7 meters, Time: 31.4 seconds
Name: Bank Street, Instruction: Turn left onto Bank Street, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn right, Distance: 72.2 meters, Time: 52.0 seconds
Name: Reuters Plaza, Instruction: Continue straight onto Reuters Plaza, Distance: 33.0 meters, Time: 23.7 seconds
Name: Reuters Plaza, Instruction: Continue straight onto Reuters Plaza, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Continue straight, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn right, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Upper Bank Street, Instruction: Turn left onto Upper Bank Street, Distance: 71.5 meters, Time: 51.4 seconds
Name: -, Instruction: Keep right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep left, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 115.6 meters, Time: 83.3 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
