Name: Cottage Point Road, Instruction: Head south on Cottage Point Road, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 185.7 meters, Time: 133.7 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn slight left, Distance: 257.2 meters, Time: 185.2 seconds
Name: -, Instruction: Turn slight left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 94.2 meters, Time: 67.8 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Severn Vale Drive, Instruction: Turn sharp right onto Severn Vale Drive, Distance: 6.0 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at Severn Vale Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
