Name: New Barn Street, Instruction: Head south on New Barn Street, Distance: 14.9 meters, Time: 10.7 seconds
Name: Denmark Street, Instruction: Turn left onto Denmark Street, Distance: 123.8 meters, Time: 89.1 seconds
Name: Cumberland Road, Instruction: Turn right onto Cumberland Road, Distance: 103.3 meters, Time: 74.4 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: Freemasons Road, Instruction: Turn sharp left onto Freemasons Road, Distance: 16.4 meters, Time: 11.8 seconds
Name: Freemasons Road, Instruction: Keep right onto Freemasons Road, Distance: 418.2 meters, Time: 301.1 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: Gadwall Close, Instruction: Turn right onto Gadwall Close, Distance: 55.6 meters, Time: 40.1 seconds
Name: Gadwall Close, Instruction: Turn left onto Gadwall Close, Distance: 32.6 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: Rustic Walk, Instruction: Turn right onto Rustic Walk, Distance: 56.9 meters, Time: 41.0 seconds
Name: Lambert Road, Instruction: Turn right onto Lambert Road, Distance: 3.4 meters, Time: 2.4 seconds
Name: Hartington Road, Instruction: Turn left onto Hartington Road, Distance: 42.1 meters, Time: 30.3 seconds
Name: Hartington Road, Instruction: Turn left onto Hartington Road, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Leslie Road, Instruction: Turn right onto Leslie Road, Distance: 174.2 meters, Time: 125.4 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
