Name: Leuty Avenue, Instruction: Head south on Leuty Avenue, Distance: 11.6 meters, Time: 8.4 seconds
Name: Alfresco Lawn, Instruction: Turn left onto Alfresco Lawn, Distance: 567.8 meters, Time: 408.8 seconds
Name: Balsam Avenue, Instruction: Turn left onto Balsam Avenue, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 79.4 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: Fir Avenue, Instruction: Turn right onto Fir Avenue, Distance: 62.3 meters, Time: 44.8 seconds
Name: -, Instruction: Turn left, Distance: 128.5 meters, Time: 92.5 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Turn slight left, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: Beech Avenue, Instruction: Turn left onto Beech Avenue, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 99.0 meters, Time: 71.3 seconds
Name: -, Instruction: Keep right, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Silver Birch Avenue, Instruction: Turn left onto Silver Birch Avenue, Distance: 365.4 meters, Time: 263.1 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Pine Avenue, Instruction: Turn right onto Pine Avenue, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep left, Distance: 4.8 meters, Time: 3.5 seconds
Name: Bracken Avenue, Instruction: Turn right onto Bracken Avenue, Distance: 235.9 meters, Time: 169.8 seconds
Name: Victoria Park Avenue, Instruction: Turn slight right onto Victoria Park Avenue, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
