Name: Afrastraße, Instruction: Head northeast on Afrastraße, Distance: 41.0 meters, Time: 29.5 seconds
Name: Sulzweg, Instruction: Turn left onto Sulzweg, Distance: 114.9 meters, Time: 82.7 seconds
Name: Edeltraudstraße, Instruction: Turn left onto Edeltraudstraße, Distance: 852.1 meters, Time: 613.5 seconds
Name: -, Instruction: Turn slight left, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Keep right, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Continue straight, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Keep left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.4 seconds
Name: Felicitas-Füss-Straße, Instruction: Turn right onto Felicitas-Füss-Straße, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 168.0 meters, Time: 120.9 seconds
Name: Markgrafenstraße, Instruction: Turn right onto Markgrafenstraße, Distance: 39.9 meters, Time: 28.7 seconds
Name: Vogesenstraße, Instruction: Turn left onto Vogesenstraße, Distance: 316.5 meters, Time: 227.9 seconds
Name: Ankoglstraße, Instruction: Turn left onto Ankoglstraße, Distance: 179.8 meters, Time: 129.5 seconds
Name: Sonnenspitzstraße, Instruction: Turn left onto Sonnenspitzstraße, Distance: 64.2 meters, Time: 46.2 seconds
Name: Hochalmstraße, Instruction: Turn right onto Hochalmstraße, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Arrive at Hochalmstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
