Name: Rue Maurice de la Sizeranne, Instruction: Head south on Rue Maurice de la Sizeranne, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 159.4 meters, Time: 114.8 seconds
Name: Place de Breteuil, Instruction: Turn left onto Place de Breteuil, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Place de Breteuil, Instruction: Turn slight right onto Place de Breteuil, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Keep right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Place de Breteuil, Instruction: Turn slight right onto Place de Breteuil, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn slight right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: Place Henri-Queuille, Instruction: Turn right onto Place Henri-Queuille, Distance: 31.6 meters, Time: 22.8 seconds
Name: Place Henri-Queuille, Instruction: Turn left onto Place Henri-Queuille, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight left, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 257.3 meters, Time: 185.2 seconds
Name: -, Instruction: Turn right, Distance: 193.7 meters, Time: 139.4 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
