Name: Duvernet Avenue, Instruction: Head west on Duvernet Avenue, Distance: 233.0 meters, Time: 167.7 seconds
Name: Bellhaven Road, Instruction: Turn right onto Bellhaven Road, Distance: 134.2 meters, Time: 96.7 seconds
Name: Fairmount Crescent, Instruction: Turn sharp left onto Fairmount Crescent, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Bowmore Road, Instruction: Turn left onto Bowmore Road, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn right, Distance: 72.7 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 320.2 meters, Time: 230.5 seconds
Name: -, Instruction: Turn right, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn slight left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Fairford Avenue, Instruction: Turn sharp left onto Fairford Avenue, Distance: 306.4 meters, Time: 220.6 seconds
Name: Hiawatha Road, Instruction: Turn right onto Hiawatha Road, Distance: 107.3 meters, Time: 77.3 seconds
Name: Walpole Avenue, Instruction: Turn left onto Walpole Avenue, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Woodfield Road, Instruction: Turn right onto Woodfield Road, Distance: 107.1 meters, Time: 77.1 seconds
Name: Monarch Park Crossing, Instruction: Turn left onto Monarch Park Crossing, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Keep left, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 250.9 meters, Time: 180.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
