Name: Rue du Pont Neuf, Instruction: Head northeast on Rue du Pont Neuf, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 332.7 meters, Time: 239.5 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 256.8 meters, Time: 184.9 seconds
Name: -, Instruction: Keep right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 212.4 meters, Time: 152.9 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep left, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rue de Jouy, Instruction: Turn right onto Rue de Jouy, Distance: 140.5 meters, Time: 101.1 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.8 seconds
Name: Rue Charlemagne, Instruction: Turn left onto Rue Charlemagne, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Voie B/4, Instruction: Continue straight onto Voie B/4, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Voie B/4, Instruction: Continue straight onto Voie B/4, Distance: 206.5 meters, Time: 148.7 seconds
Name: Rue du Petit Musc, Instruction: Turn left onto Rue du Petit Musc, Distance: 36.4 meters, Time: 26.2 seconds
Name: Rue de la Cerisaie, Instruction: Turn right onto Rue de la Cerisaie, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: Boulevard Henri IV, Instruction: Turn left onto Boulevard Henri IV, Distance: 2.6 meters, Time: 1.9 seconds
Name: Rue de la Cerisaie, Instruction: Turn right onto Rue de la Cerisaie, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.2 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
