Name: Rue de la Capsulerie, Instruction: Head west on Rue de la Capsulerie, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Turn right, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Keep right, Distance: 58.0 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 58.4 meters, Time: 42.0 seconds
Name: Rue Robespierre, Instruction: Turn sharp right onto Rue Robespierre, Distance: 55.7 meters, Time: 40.1 seconds
Name: Rue Robespierre, Instruction: Keep right onto Rue Robespierre, Distance: 128.1 meters, Time: 92.2 seconds
Name: Avenue des Camélias, Instruction: Turn left onto Avenue des Camélias, Distance: 23.3 meters, Time: 16.7 seconds
Name: Rue Sadi Carnot, Instruction: Turn right onto Rue Sadi Carnot, Distance: 30.2 meters, Time: 21.8 seconds
Name: Rue Jean Jaurès, Instruction: Keep left onto Rue Jean Jaurès, Distance: 11.4 meters, Time: 8.2 seconds
Name: Rue Jean Jaurès, Instruction: Turn left onto Rue Jean Jaurès, Distance: 80.4 meters, Time: 57.9 seconds
Name: Rue Jean Jaurès, Instruction: Keep right onto Rue Jean Jaurès, Distance: 10.9 meters, Time: 7.8 seconds
Name: Rue Jean Jaurès, Instruction: Turn right onto Rue Jean Jaurès, Distance: 175.1 meters, Time: 126.1 seconds
Name: Rue Jean Jaurès, Instruction: Continue straight onto Rue Jean Jaurès, Distance: 262.7 meters, Time: 189.1 seconds
Name: Rue Parmentier, Instruction: Turn left onto Rue Parmentier, Distance: 38.0 meters, Time: 27.3 seconds
Name: Rue Parmentier, Instruction: Turn slight right onto Rue Parmentier, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 392.6 meters, Time: 282.7 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 370.9 meters, Time: 267.0 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
