Name: Rue du Fauconnier, Instruction: Head northeast on Rue du Fauconnier, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Keep right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.1 seconds
Name: Rue des Jardins Saint-Paul, Instruction: Turn left onto Rue des Jardins Saint-Paul, Distance: 127.0 meters, Time: 91.4 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: Rue Charlemagne, Instruction: Turn right onto Rue Charlemagne, Distance: 31.1 meters, Time: 22.4 seconds
Name: Rue Eginhard, Instruction: Turn left onto Rue Eginhard, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 169.3 meters, Time: 121.9 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn slight right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Place des Vosges, Instruction: Turn left onto Place des Vosges, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at Place des Vosges, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
