Name: Pope Close, Instruction: Head north on Pope Close, Distance: 5.5 meters, Time: 4.0 seconds
Name: North Road, Instruction: Turn left onto North Road, Distance: 72.4 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Keep left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Chaucer Way, Instruction: Turn right onto Chaucer Way, Distance: 110.5 meters, Time: 79.6 seconds
Name: Mead Path, Instruction: Turn left onto Mead Path, Distance: 3.7 meters, Time: 2.6 seconds
Name: Mead Path, Instruction: Turn slight left onto Mead Path, Distance: 109.0 meters, Time: 78.5 seconds
Name: Mead Path, Instruction: Continue straight onto Mead Path, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: Waterside Way, Instruction: Turn left onto Waterside Way, Distance: 386.2 meters, Time: 278.1 seconds
Name: Mead Path, Instruction: Turn sharp right onto Mead Path, Distance: 375.2 meters, Time: 270.1 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Blackshaw Road, Instruction: Turn right onto Blackshaw Road, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: Hazelhurst Road, Instruction: Turn left onto Hazelhurst Road, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Arrive at Hazelhurst Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
