Name: Cornelia Road, Instruction: Head east on Cornelia Road, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Turn right, Distance: 167.4 meters, Time: 120.5 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn slight left, Distance: 1204.6 meters, Time: 867.3 seconds
Name: -, Instruction: Turn left, Distance: 164.5 meters, Time: 118.5 seconds
Name: -, Instruction: Turn left, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: Billabong Street, Instruction: Enter the roundabout and take the 2nd exit onto Billabong Street, Distance: 186.7 meters, Time: 134.4 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 141.3 meters, Time: 101.7 seconds
Name: Macklin Street, Instruction: Turn left onto Macklin Street, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at Macklin Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
