Name: Auburn Road, Instruction: Head north on Auburn Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: Pobje Avenue, Instruction: Turn right onto Pobje Avenue, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 261.8 meters, Time: 188.5 seconds
Name: -, Instruction: Turn left, Distance: 177.8 meters, Time: 128.0 seconds
Name: -, Instruction: Turn slight right, Distance: 180.7 meters, Time: 130.1 seconds
Name: Larien Crescent, Instruction: Turn right onto Larien Crescent, Distance: 8.8 meters, Time: 6.4 seconds
Name: Brunker Road, Instruction: Turn left onto Brunker Road, Distance: 101.2 meters, Time: 72.9 seconds
Name: Cooper Road, Instruction: Enter the roundabout and take the 1st exit onto Cooper Road, Distance: 26.2 meters, Time: 18.8 seconds
Name: Cooper Road, Instruction: Turn sharp left onto Cooper Road, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep right, Distance: 31.0 meters, Time: 22.3 seconds
Name: Brunker Road, Instruction: Turn slight right onto Brunker Road, Distance: 98.2 meters, Time: 70.7 seconds
Name: Rowe Drive, Instruction: Turn left onto Rowe Drive, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 901.1 meters, Time: 648.8 seconds
Name: -, Instruction: Turn left, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 155.1 meters, Time: 111.7 seconds
Name: Boardman Street, Instruction: Turn right onto Boardman Street, Distance: 107.7 meters, Time: 77.5 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
