Name: Sunnyside Avenue, Instruction: Head south on Sunnyside Avenue, Distance: 96.7 meters, Time: 69.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn slight left, Distance: 168.0 meters, Time: 121.0 seconds
Name: -, Instruction: Keep right, Distance: 330.7 meters, Time: 238.1 seconds
Name: -, Instruction: Keep right, Distance: 103.3 meters, Time: 74.3 seconds
Name: -, Instruction: Keep right, Distance: 254.7 meters, Time: 183.4 seconds
Name: -, Instruction: Keep right, Distance: 208.3 meters, Time: 150.0 seconds
Name: -, Instruction: Keep right, Distance: 689.1 meters, Time: 496.2 seconds
Name: -, Instruction: Turn left, Distance: 42.4 meters, Time: 30.5 seconds
Name: Minowan Miikan Lane, Instruction: Turn right onto Minowan Miikan Lane, Distance: 7.6 meters, Time: 5.5 seconds
Name: Gladstone Avenue, Instruction: Turn left onto Gladstone Avenue, Distance: 120.1 meters, Time: 86.5 seconds
Name: -, Instruction: Arrive at Gladstone Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
