Name: شارع ابو منصور الموفق, Instruction: Head east on شارع ابو منصور الموفق, Distance: 152.5 meters, Time: 109.8 seconds
Name: شارع الشهيد عادل منصور, Instruction: Turn left onto شارع الشهيد عادل منصور, Distance: 10.3 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.6 seconds
Name: شارع الشهيد محمد محمود, Instruction: Turn right onto شارع الشهيد محمد محمود, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight left, Distance: 77.0 meters, Time: 55.4 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 51.2 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: محور مصطفى كامل, Instruction: Turn right onto محور مصطفى كامل, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: محور مصطفى كامل, Instruction: Turn right onto محور مصطفى كامل, Distance: 219.2 meters, Time: 157.8 seconds
Name: شارع حسام جويش, Instruction: Turn left onto شارع حسام جويش, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.7 seconds
Name: شارع حسام جويش, Instruction: Turn left onto شارع حسام جويش, Distance: 84.9 meters, Time: 61.2 seconds
Name: شارع أم كلثوم, Instruction: Turn right onto شارع أم كلثوم, Distance: 119.8 meters, Time: 86.3 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: شارع أم كلثوم, Instruction: Turn right onto شارع أم كلثوم, Distance: 380.5 meters, Time: 273.9 seconds
Name: شارع عبدالرحمن بيصار, Instruction: Turn left onto شارع عبدالرحمن بيصار, Distance: 454.5 meters, Time: 327.2 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.6 seconds
Name: شارع محمود رياض, Instruction: Turn left onto شارع محمود رياض, Distance: 427.6 meters, Time: 307.8 seconds
Name: شارع الشيخ الذهبى, Instruction: Turn right onto شارع الشيخ الذهبى, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 94.4 meters, Time: 68.0 seconds
Name: شارع الشيخ عبدالله الحبشى, Instruction: Turn left onto شارع الشيخ عبدالله الحبشى, Distance: 143.9 meters, Time: 103.6 seconds
Name: -, Instruction: Arrive at شارع الشيخ عبدالله الحبشى, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
