Name: Quainton Street, Instruction: Head northeast on Quainton Street, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn left, Distance: 217.9 meters, Time: 156.9 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Birchen Grove, Instruction: Turn right onto Birchen Grove, Distance: 732.3 meters, Time: 527.2 seconds
Name: -, Instruction: Continue straight, Distance: 504.6 meters, Time: 363.3 seconds
Name: -, Instruction: Turn right, Distance: 35.8 meters, Time: 25.8 seconds
Name: Wood Lane, Instruction: Turn left onto Wood Lane, Distance: 133.4 meters, Time: 96.0 seconds
Name: Wood Lane, Instruction: Turn left onto Wood Lane, Distance: 92.7 meters, Time: 66.8 seconds
Name: Perth Avenue, Instruction: Turn right onto Perth Avenue, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Arrive at Perth Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
