Name: Lincoln Road, 19, Instruction: Head north on Lincoln Road, 19, Distance: 28.3 meters, Time: 20.3 seconds
Name: Fairdene Avenue, Instruction: Turn left onto Fairdene Avenue, Distance: 374.2 meters, Time: 269.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 98.5 meters, Time: 70.9 seconds
Name: -, Instruction: Keep right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Edwards Avenue, Instruction: Turn right onto Edwards Avenue, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn left, Distance: 95.2 meters, Time: 68.6 seconds
Name: -, Instruction: Turn right, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn right, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn left, Distance: 329.1 meters, Time: 236.9 seconds
Name: -, Instruction: Keep right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn slight right, Distance: 177.2 meters, Time: 127.6 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: Neta Grove, Instruction: Turn right onto Neta Grove, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 27.9 seconds
Name: Vitex Lane, Instruction: Turn left onto Vitex Lane, Distance: 87.7 meters, Time: 63.1 seconds
Name: Albizia Avenue, Instruction: Turn right onto Albizia Avenue, Distance: 27.9 meters, Time: 20.1 seconds
Name: Estate Way, Instruction: Turn left onto Estate Way, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 103.8 meters, Time: 74.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Espalier Drive, Instruction: Turn right onto Espalier Drive, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 172.1 meters, Time: 123.9 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
