Name: Stapleton Street, Instruction: Head west on Stapleton Street, Distance: 452.1 meters, Time: 325.5 seconds
Name: Goodall Street, Instruction: Turn right onto Goodall Street, Distance: 123.4 meters, Time: 88.9 seconds
Name: Wentworth Avenue, Instruction: Turn left onto Wentworth Avenue, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 635.8 meters, Time: 457.8 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 432.3 meters, Time: 311.2 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Derbyshire Avenue, Instruction: Turn left onto Derbyshire Avenue, Distance: 310.8 meters, Time: 223.8 seconds
Name: -, Instruction: Arrive at Derbyshire Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
