Name: Rue Edmond Valentin, Instruction: Head west on Rue Edmond Valentin, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 218.8 meters, Time: 157.6 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Rue de l'Université, Instruction: Turn left onto Rue de l'Université, Distance: 75.8 meters, Time: 54.5 seconds
Name: -, Instruction: Continue straight, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Keep right, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 177.5 meters, Time: 127.8 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Avenue de New York, Instruction: Turn sharp left onto Avenue de New York, Distance: 341.1 meters, Time: 245.6 seconds
Name: Avenue du Président Kennedy, Instruction: Turn left onto Avenue du Président Kennedy, Distance: 162.6 meters, Time: 117.1 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 139.4 meters, Time: 100.4 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
