Name: Hill Street, Instruction: Head north on Hill Street, Distance: 240.5 meters, Time: 173.2 seconds
Name: Fleming Street, Instruction: Turn right onto Fleming Street, Distance: 199.8 meters, Time: 143.9 seconds
Name: Selwyn Street, Instruction: Turn left onto Selwyn Street, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 67.9 meters, Time: 48.9 seconds
Name: Lower Municipal Place, Instruction: Turn left onto Lower Municipal Place, Distance: 59.1 meters, Time: 42.5 seconds
Name: Church Street, Instruction: Turn right onto Church Street, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 146.1 meters, Time: 105.2 seconds
Name: -, Instruction: Turn right, Distance: 53.1 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 162.1 meters, Time: 116.7 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 501.3 meters, Time: 360.9 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Arthur Street, Instruction: Turn left onto Arthur Street, Distance: 19.1 meters, Time: 13.7 seconds
Name: Arthur Street, Instruction: Enter the roundabout and take the 2nd exit onto Arthur Street, Distance: 217.0 meters, Time: 156.2 seconds
Name: Alfred Street, Instruction: Turn right onto Alfred Street, Distance: 81.1 meters, Time: 58.4 seconds
Name: Grotto Street, Instruction: Turn left onto Grotto Street, Distance: 521.7 meters, Time: 375.6 seconds
Name: Captain Springs Road, Instruction: Turn right onto Captain Springs Road, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 77.3 meters, Time: 55.7 seconds
Name: -, Instruction: Turn left, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn right, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
