Name: E872, Instruction: Head southeast on E872, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 59.8 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Axe de la Défense, Instruction: Turn right onto Axe de la Défense, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn slight left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Keep right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Keep right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight right, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Continue straight, Distance: 156.0 meters, Time: 112.4 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Keep right, Distance: 80.8 meters, Time: 58.2 seconds
Name: Rue Monge, Instruction: Enter the roundabout and take the 2nd exit onto Rue Monge, Distance: 257.8 meters, Time: 185.6 seconds
Name: -, Instruction: Turn right, Distance: 174.4 meters, Time: 125.6 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
