Name: Rua Carlos Oswald, Instruction: Head northwest on Rua Carlos Oswald, Distance: 18.3 meters, Time: 13.2 seconds
Name: Avenida David Nasser, Instruction: Turn sharp left onto Avenida David Nasser, Distance: 53.1 meters, Time: 38.2 seconds
Name: Avenida das Américas, Instruction: Turn slight right onto Avenida das Américas, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 337.5 meters, Time: 243.0 seconds
Name: -, Instruction: Turn left, Distance: 76.1 meters, Time: 54.8 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Keep right, Distance: 308.6 meters, Time: 222.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rua Professor Alfredo Colombo, Instruction: Turn left onto Rua Professor Alfredo Colombo, Distance: 138.5 meters, Time: 99.7 seconds
Name: Rua Professor Alfredo Colombo, Instruction: Enter the roundabout and take the 1st exit onto Rua Professor Alfredo Colombo, Distance: 434.3 meters, Time: 312.7 seconds
Name: Avenida Clayton Ohana, Instruction: Turn right onto Avenida Clayton Ohana, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Arrive at Avenida Clayton Ohana, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
