Name: Calle Colegio Salesiano, Instruction: Head north on Calle Colegio Salesiano, Distance: 644.6 meters, Time: 464.1 seconds
Name: Calle Lago Catemaco, Instruction: Turn left onto Calle Lago Catemaco, Distance: 99.9 meters, Time: 71.9 seconds
Name: Calle Lago Xochimilco, Instruction: Turn right onto Calle Lago Xochimilco, Distance: 56.6 meters, Time: 40.7 seconds
Name: Ferrocarril a Cuernavaca, Instruction: Turn right onto Ferrocarril a Cuernavaca, Distance: 460.9 meters, Time: 331.8 seconds
Name: Calle Mar Mediterráneo, Instruction: Turn right onto Calle Mar Mediterráneo, Distance: 6.1 meters, Time: 4.4 seconds
Name: Calle Ferrocarril de Cuernavaca, Instruction: Turn left onto Calle Ferrocarril de Cuernavaca, Distance: 80.5 meters, Time: 58.0 seconds
Name: Calle Manuel Carpio, Instruction: Turn right onto Calle Manuel Carpio, Distance: 84.7 meters, Time: 61.0 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn slight left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
