Name: Heidemannstraße, Instruction: Head east on Heidemannstraße, Distance: 272.3 meters, Time: 196.1 seconds
Name: Werner-Egk-Bogen, Instruction: Turn left onto Werner-Egk-Bogen, Distance: 29.1 meters, Time: 20.9 seconds
Name: Werner-Egk-Bogen, Instruction: Turn slight left onto Werner-Egk-Bogen, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Werner-Egk-Bogen, Instruction: Turn left onto Werner-Egk-Bogen, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Keep left, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
