Name: Lassell Street, Instruction: Head southeast on Lassell Street, Distance: 165.8 meters, Time: 119.4 seconds
Name: Trafalgar Road, A206, Instruction: Turn right onto Trafalgar Road, A206, Distance: 2.8 meters, Time: 2.0 seconds
Name: Woodland Crescent, Instruction: Turn left onto Woodland Crescent, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 84.5 meters, Time: 60.9 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 981.0 meters, Time: 706.3 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: Prince Charles Road, Instruction: Turn slight left onto Prince Charles Road, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Keep right, Distance: 215.4 meters, Time: 155.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.0 meters, Time: 0.7 seconds
Name: Shooters Hill Road, Instruction: Turn left onto Shooters Hill Road, Distance: 272.3 meters, Time: 196.1 seconds
Name: -, Instruction: Keep right, Distance: 34.9 meters, Time: 25.1 seconds
Name: Stratheden Road, Instruction: Turn right onto Stratheden Road, Distance: 253.4 meters, Time: 182.5 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.1 seconds
Name: Shooters Hill Road, Instruction: Turn right onto Shooters Hill Road, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Kidbrooke Grove, Instruction: Turn left onto Kidbrooke Grove, Distance: 112.5 meters, Time: 81.0 seconds
Name: Liskeard Gardens, Instruction: Turn right onto Liskeard Gardens, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Arrive at Liskeard Gardens, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
